Article Title,Article URL
Code Blues,https://journals.lww.com/ccmjournal/citation/2020/01000/code_blues.1.aspx
"The Nursing Activities Score Per Nurse Ratio Is Associated With In-Hospital Mortality, Whereas the Patients Per Nurse Ratio Is Not*",https://journals.lww.com/ccmjournal/abstract/2020/01000/the_nursing_activities_score_per_nurse_ratio_is.2.aspx
Critical Care Management of Toxicities Associated With Targeted Agents and Immunotherapies for Cancer,https://journals.lww.com/ccmjournal/abstract/2020/01000/critical_care_management_of_toxicities_associated.3.aspx
Clinical and Genetic Contributors to New-Onset Atrial Fibrillation in Critically Ill Adults*,https://journals.lww.com/ccmjournal/abstract/2020/01000/clinical_and_genetic_contributors_to_new_onset.4.aspx
"Outcomes in Critically Ill Patients With Traumatic Brain Injury: Ethnicity, Documentation, and Insurance Status",https://journals.lww.com/ccmjournal/abstract/2020/01000/outcomes_in_critically_ill_patients_with_traumatic.5.aspx
Very Low Density Lipoprotein Receptor Sequesters Lipopolysaccharide Into Adipose Tissue During Sepsis,https://journals.lww.com/ccmjournal/abstract/2020/01000/very_low_density_lipoprotein_receptor_sequesters.6.aspx
"Bioactive Adrenomedullin, Organ Support Therapies, and Survival in the Critically Ill: Results from the French and European Outcome Registry in ICU Study","https://journals.lww.com/ccmjournal/abstract/2020/01000/bioactive_adrenomedullin,_organ_support_therapies,.7.aspx"
Racial and Ethnic Disparities in Postcardiac Arrest Targeted Temperature Management Outcomes*,https://journals.lww.com/ccmjournal/abstract/2020/01000/racial_and_ethnic_disparities_in_postcardiac.8.aspx
Early and Late Mortality Following Discharge From the ICU: A Multicenter Prospective Cohort Study*,https://journals.lww.com/ccmjournal/abstract/2020/01000/early_and_late_mortality_following_discharge_from.9.aspx
Simulation-Based Team Leadership Training Improves Team Leadership During Actual Trauma Resuscitations: A Randomized Controlled Trial,https://journals.lww.com/ccmjournal/abstract/2020/01000/simulation_based_team_leadership_training_improves.10.aspx
Thyroid Storm in the ICU: A Retrospective Multicenter Study,https://journals.lww.com/ccmjournal/abstract/2020/01000/thyroid_storm_in_the_icu__a_retrospective.11.aspx
Conditional Survival With Increasing Duration of ICU Admission: An Observational Study of Three Intensive Care Databases,https://journals.lww.com/ccmjournal/fulltext/2020/01000/conditional_survival_with_increasing_duration_of.12.aspx
Development of an Undergraduate Medical Education Critical Care Content Outline Utilizing the Delphi Method,https://journals.lww.com/ccmjournal/abstract/2020/01000/development_of_an_undergraduate_medical_education.13.aspx
Magnesium and Hemorrhage Volume in Patients With Aneurysmal Subarachnoid Hemorrhage,https://journals.lww.com/ccmjournal/abstract/2020/01000/magnesium_and_hemorrhage_volume_in_patients_with.14.aspx
Deconstructing Poststroke Delirium in a Prospective Cohort of Patients With Intracerebral Hemorrhage*,https://journals.lww.com/ccmjournal/abstract/2020/01000/deconstructing_poststroke_delirium_in_a.15.aspx
Enteral Nutrition Should Not Be Given to Patients on Vasopressor Agents,https://journals.lww.com/ccmjournal/citation/2020/01000/enteral_nutrition_should_not_be_given_to_patients.16.aspx
Enteral Nutrition Can Be Given to Patients on Vasopressors,https://journals.lww.com/ccmjournal/citation/2020/01000/enteral_nutrition_can_be_given_to_patients_on.17.aspx
"Nursing Activities Score, Nurse Patient Ratios, and ICU Mortality: Its More Complicated Than That*","https://journals.lww.com/ccmjournal/citation/2020/01000/nursing_activities_score,_nurse_patient_ratios,.18.aspx"
When the Usual Suspects Turn Up in the ICU: Searching for Genetic Clues to Atrial Fibrillation*,https://journals.lww.com/ccmjournal/citation/2020/01000/when_the_usual_suspects_turn_up_in_the_icu_.19.aspx
Left Out in the Cold: Examining Racial Disparities in Postcardiac Arrest Targeted Temperature Management Outcomes*,https://journals.lww.com/ccmjournal/citation/2020/01000/left_out_in_the_cold__examining_racial_disparities.20.aspx
